section,day,subject,start_time,end_time,room,professor
A1,Tue,TEST-CLASS,19:50,20:50,TEST-ROOM,TEST-PROF
A1,Mon,MPWS,08:30,10:30,DG-04,MPS
A1,Mon,CAMD,10:30,11:30,CG-09,SS
A1,Mon,PH,11:30,12:30,CG-09,SG
A1,Mon,SWAYAM/NPTEL,13:30,14:30,,
A2,Mon,LG LAB,13:30,14:30,CS-22,SC
A2,Mon,CAMD,08:30,10:30,CS-17,SS
A2,Mon,CAMD,10:30,11:30,CG-09,SS
A2,Mon,PH,11:30,12:30,CG-09,SG
A2,Mon,LG LAB,13:30,14:30,CS-22,SC
A1,Tue,CAMD,08:30,10:30,CS-17,SS
A1,Tue,PH,10:30,11:30,CG-09,SG
A1,Tue,LG LAB,13:30,14:30,CS-23,SC
A2,Tue,MPWS,08:30,10:30,DG-06,MG
A2,Tue,PH,10:30,11:30,CG-09,SG
A2,Tue,SWAYAM/NPTEL,13:30,15:30,,
A1,Wed,Sports-I,08:30,09:30,,
A1,Wed,M,09:30,10:30,CG-09,KP
A1,Wed,CSK,11:30,12:30,CG-09,SC
A1,Wed,EE LAB,13:30,14:30,BLG-17,VR
A2,Wed,Sports-I,08:30,09:30,,
A2,Wed,M,09:30,10:30,CG-09,KP
A2,Wed,CSK,11:30,12:30,CG-09,SC
A2,Wed,PH LAB,13:30,14:30,CF-11,PKS
A1,Thu,M,08:30,09:30,CG-09,KP
A1,Thu,CSK,09:30,10:30,CG-09,SC
A1,Thu,PH,10:30,11:30,CG-09,SG
A1,Thu,PH LAB,13:30,14:30,CF-10,SKD
A2,Thu,M,08:30,09:30,CG-09,KP
A2,Thu,CSK,09:30,10:30,CG-09,SC
A2,Thu,PH,10:30,11:30,CG-09,SG
A2,Thu,EE LAB,13:30,14:30,BLG-17,NKK
A1,Fri,BEE,09:30,10:30,CG-09,VR
A1,Fri,M,10:30,11:30,CG-09,KP
A1,Fri,BME,11:30,12:30,CG-09,SS
A2,Fri,BEE,09:30,10:30,CG-09,VR
A2,Fri,M,10:30,11:30,CG-09,KP
A2,Fri,BME,11:30,12:30,CG-09,SS
A1,Sat,PH,08:30,09:30,CG-09,SG
A1,Sat,BEE,09:30,10:30,CG-09,VR
A1,Sat,M,10:30,11:30,CG-09,KP
A1,Sat,BME,13:30,14:30,CG-09,SS
A2,Sat,PH,08:30,09:30,CG-09,SG
A2,Sat,BEE,09:30,10:30,CG-09,VR
A2,Sat,M,10:30,11:30,CG-09,KP
A2,Sat,BME,13:30,14:30,CG-09,SS
B1,Mon,BEE,08:30,09:30,CG-09,NKK
B1,Mon,PH,09:30,10:30,CG-09,SKD
B1,Mon,EE LAB,10:30,12:30,BLG-17,NKK
B1,Mon,Sports-I,13:30,14:30,,
B2,Mon,BEE,08:30,09:30,CG-09,NKK
B2,Mon,PH,09:30,10:30,CG-09,SKD
B2,Mon,PH LAB,10:30,12:30,CF-10,PKS
B2,Mon,Sports-I,13:30,14:30,,
B1,Tue,BME,09:30,10:30,CG-09,SPS
B1,Tue,PH LAB,10:30,12:30,CF-11,NS
B1,Tue,M,13:30,14:30,CG-09,ST
B2,Tue,BME,09:30,10:30,CG-09,SPS
B2,Tue,EE LAB,10:30,12:30,BLG-17,NKK
B2,Tue,M,13:30,14:30,CG-09,ST
B1,Wed,MPWS,08:30,10:30,DG-06,MG
B1,Wed,CAMD,10:30,11:30,CG-09,SPS
B1,Wed,PH,13:30,14:30,CG-09,SKD
B2,Wed,CAMD,08:30,10:30,CF-02,SPS
B2,Wed,CAMD,10:30,11:30,CG-09,SPS
B2,Wed,PH,13:30,14:30,CG-09,SKD
B1,Thu,CAMD,08:30,10:30,CF-02,SPS
B1,Thu,PH,10:30,11:30,CF-03,NS
B1,Thu,M,11:30,12:30,CF-03,ST
B2,Thu,MPWS,08:30,10:30,DG-04,LKS
B2,Thu,PH,10:30,11:30,CF-03,NS
B2,Thu,M,11:30,12:30,CF-03,ST
B1,Fri,PH,08:30,09:30,CF-03,NS
